Title:       ,Sunset_PID
 2.5542050 , 8.5419570
 2.5549210 , 8.5413340
 2.5554740 , 8.5408490
 2.5591340 , 8.5399070
 2.5575370 , 8.5390990
 2.5584170 , 8.5384270
 2.5594820 , 8.5381030
 2.5598280 , 8.5372350
 2.5609160 , 8.5365010
 2.5615240 , 8.5358660
 2.5620850 , 8.5352600
 2.5631110 , 8.5346670
 2.5641820 , 8.5336970
 2.5643890 , 8.5329750
 2.5650720 , 8.5324540
 2.5666480 , 8.5318850
 2.5664750 , 8.5311240
 2.5673470 , 8.5302040
 2.5688590 , 8.5298850
 2.5687230 , 8.5290400
 2.5695910 , 8.5285380
 2.5702880 , 8.5278470
 2.5709760 , 8.5271020
 2.5725650 , 8.5264530
 2.5723540 , 8.5255500
 2.5730620 , 8.5251000
 2.5740550 , 8.5245290
 2.5744240 , 8.5237770
 2.5752060 , 8.5229580
 2.5760610 , 8.5224420
 2.5789070 , 8.5219220
 2.5774450 , 8.5211300
 2.5785280 , 8.5204310
 2.5789540 , 8.5197410
 2.5798370 , 8.5192050
 2.5807260 , 8.5185990
 2.5807700 , 8.5179790
 2.5815310 , 8.5170560
 2.5827050 , 8.5166260
 2.5829160 , 8.5160410
 2.5835850 , 8.5151180
 2.5844240 , 8.5146040
 2.5846700 , 8.5141080
 2.5854000 , 8.5132190
 2.5864190 , 8.5126500
 2.5870030 , 8.5119520
 2.5873660 , 8.5116900
 2.5882190 , 8.5107420
 2.5890170 , 8.5099820
 2.5895690 , 8.5094420
 2.5901450 , 8.5088420
 2.5914460 , 8.5083250
 2.5914530 , 8.5074320
 2.5921990 , 8.5067480
 2.5936620 , 8.5064080
 2.5935150 , 8.5055060
 2.5942840 , 8.5049490
 2.5961550 , 8.5042540
 2.5956440 , 8.5037250
 2.5963220 , 8.5030880
 2.5972320 , 8.5023370
 2.5977480 , 8.5016760
 2.5981180 , 8.5010640
 2.5989110 , 8.5004010
 2.6020970 , 8.4996490
 2.6005730 , 8.4991420
 2.6010260 , 8.4988060
 2.6020390 , 8.4979980
 2.6024860 , 8.4973550
 2.6031850 , 8.4965830
 2.6036770 , 8.4960060
 2.6062670 , 8.4954170
 2.6054830 , 8.4947200
 2.6057980 , 8.4941070
 2.6067640 , 8.4936310
